Wall time,Step,Value
1630143850.6133268,1,4.762712478637695
1630144737.492958,100,-2.4396748542785645
1630143850.6133268,1,4.762712478637695
1630144737.492958,100,-2.4396748542785645
1630145735.936952,200,-18.380815505981445
1630146990.1497676,300,-23.290489196777344
1630148644.2335062,400,-28.320945739746094
1630150223.960788,500,-13.522968292236328
1630143850.6133268,1,4.762712478637695
1630224131.1412265,600,-32.09873962402344
1630225753.6193948,700,-27.706893920898438
1630224131.1412265,600,-32.09873962402344
1630225753.6193948,700,-27.706893920898438
1630227334.3662715,800,-6.1847453117370605
1630228824.953449,900,-4.74039888381958
1630230271.7757385,1000,-20.265798568725586
1630224131.1412265,600,-32.09873962402344
1630225753.6193948,700,-27.706893920898438
1630227334.3662715,800,-6.1847453117370605
1630228824.953449,900,-4.74039888381958
1630230271.7757385,1000,-20.265798568725586
1630231621.8923664,1100,-54.410987854003906
1630232850.882394,1200,-39.58397674560547
1630234112.369269,1300,4.567909240722656
1630224131.1412265,600,-32.09873962402344
1630225753.6193948,700,-27.706893920898438
1630227334.3662715,800,-6.1847453117370605
1630228824.953449,900,-4.74039888381958
1630230271.7757385,1000,-20.265798568725586
1630231621.8923664,1100,-54.410987854003906
1630232850.882394,1200,-39.58397674560547
1630234112.369269,1300,4.567909240722656
1630224131.1412265,600,-32.09873962402344
1630225753.6193948,700,-27.706893920898438
1630227334.3662715,800,-6.1847453117370605
1630228824.953449,900,-4.74039888381958
1630230271.7757385,1000,-20.265798568725586
1630231621.8923664,1100,-54.410987854003906
1630232850.882394,1200,-39.58397674560547
1630234112.369269,1300,4.567909240722656
1630235341.5969331,1400,-17.647539138793945
1630320214.243147,1600,23.458581924438477
1630320214.243147,1600,23.458581924438477
1630321282.8239996,1700,-19.145355224609375
1630322354.412391,1800,-44.70940399169922
1630323458.7198431,1900,-5.244076728820801
1630324529.4960103,2000,-12.798088073730469
1630320214.243147,1600,23.458581924438477
1630321282.8239996,1700,-19.145355224609375
1630322354.412391,1800,-44.70940399169922
1630323458.7198431,1900,-5.244076728820801
1630324529.4960103,2000,-12.798088073730469
1630325639.037611,2100,5.63491678237915
1630320214.243147,1600,23.458581924438477
1630321282.8239996,1700,-19.145355224609375
1630320214.243147,1600,23.458581924438477
1630321282.8239996,1700,-19.145355224609375
1630322354.412391,1800,-44.70940399169922
1630323458.7198431,1900,-5.244076728820801
1630324529.4960103,2000,-12.798088073730469
1630325639.037611,2100,5.63491678237915
1630326710.4399233,2200,-15.470495223999023
1630327782.203802,2300,-14.736498832702637
1630328886.8188455,2400,-9.584522247314453
1630320214.243147,1600,23.458581924438477
1630321282.8239996,1700,-19.145355224609375
1630322354.412391,1800,-44.70940399169922
1630323458.7198431,1900,-5.244076728820801
1630324529.4960103,2000,-12.798088073730469
