Date,Time,Room Temperature (degree Celsius),Relative Humidity (%)
20.01.18,09:18:00,15,46.2
20.01.18,09:30:00,15.5,45
20.01.18,09:42:00,16.1,43.8
20.01.18,09:54:00,16.6,42.5
20.01.18,10:06:00,17.2,41.4
20.01.18,10:18:00,17.8,40.4
20.01.18,10:30:00,18,40
20.01.18,10:42:00,18,40.1
20.01.18,10:54:00,18,40.1
20.01.18,11:06:00,18,40
20.01.18,11:18:00,18,40.2
20.01.18,11:30:00,18.2,40.4
20.01.18,11:42:00,18.3,40.9
20.01.18,11:54:00,18.3,41.2
20.01.18,12:06:00,18.1,41.6
20.01.18,12:18:00,18.3,41.2
20.01.18,12:30:00,18.5,41.3
20.01.18,12:42:00,18,42.1
20.01.18,12:54:00,18.5,41.1
20.01.18,13:06:00,18.2,42.1
20.01.18,13:18:00,18,42.9
20.01.18,13:30:00,18.4,42.3
20.01.18,13:42:00,18.1,43.3
20.01.18,13:54:00,18,44.1
20.01.18,14:06:00,18,44.2
20.01.18,14:18:00,18,44.2
20.01.18,14:30:00,18.2,43.4
20.01.18,14:42:00,18,43.8
20.01.18,14:54:00,18.2,43.6
20.01.18,15:06:00,18,43.9
20.01.18,15:18:00,18.2,43.4
20.01.18,15:30:00,18.1,43.4
20.01.18,15:42:00,18.1,42.7
20.01.18,15:54:00,18.2,42.9
20.01.18,16:06:00,18,43.1
20.01.18,16:18:00,18.5,42.5
20.01.18,16:30:00,18.1,43.2
20.01.18,16:42:00,18.2,42.3
20.01.18,16:54:00,18.4,42.1
20.01.18,17:06:00,18.1,42.7
20.01.18,17:18:00,18.1,42.2
20.01.18,17:30:00,18.3,42
20.01.18,17:42:00,18.2,42.3
20.01.18,17:54:00,18.1,42.7
20.01.18,18:06:00,18,42.5
20.01.18,18:18:00,18.3,41.8
20.01.18,18:30:00,18.4,42.1
20.01.18,18:42:00,18.2,42.4
20.01.18,18:54:00,18.1,42.4
20.01.18,19:06:00,18.3,42.1
20.01.18,19:18:00,17.2,45
20.01.18,19:30:00,16.6,46.6
20.01.18,19:42:00,16.1,47.9
20.01.18,19:54:00,15.6,49
20.01.18,20:06:00,15.2,50.1
20.01.18,20:18:00,15,51
20.01.18,20:30:00,14.7,51.9
20.01.18,20:42:00,14.5,52.8
20.01.18,20:54:00,14.3,53.6
20.01.18,21:06:00,14.2,54.3
20.01.18,21:18:00,14.1,54.9
20.01.18,21:30:00,14,55.5
20.01.18,21:42:00,13.9,55.9
20.01.18,21:54:00,14.5,54.6
20.01.18,22:06:00,14.2,55.2
20.01.18,22:18:00,14,56
20.01.18,22:30:00,14.4,55.1
20.01.18,22:42:00,14.2,55.6
20.01.18,22:54:00,14,56.5
20.01.18,23:06:00,14.2,56.3
20.01.18,23:18:00,14,57.3
20.01.18,23:30:00,14.2,57.2
20.01.18,23:42:00,14,58
20.01.18,23:54:00,14.2,57.7
21.01.18,00:06:00,14,58.8
21.01.18,00:18:00,14.2,58.4
21.01.18,00:30:00,14,59.1
21.01.18,00:42:00,14.3,58.3
21.01.18,00:54:00,14.1,59
21.01.18,01:06:00,14.1,59.5
21.01.18,01:18:00,14.3,59
21.01.18,01:30:00,14,59.9
21.01.18,01:42:00,14,60.3
21.01.18,01:54:00,14.1,60
21.01.18,02:06:00,14,60.8
21.01.18,02:18:00,14.1,60.4
21.01.18,02:30:00,14,61.1
21.01.18,02:42:00,14.2,60.5
21.01.18,02:54:00,14,61.1
21.01.18,03:06:00,14.2,60.4
21.01.18,03:18:00,14,60.5
21.01.18,03:30:00,14.2,60.3
21.01.18,03:42:00,14,60.4
21.01.18,03:54:00,14.2,60.5
21.01.18,04:06:00,14.2,60.1
21.01.18,04:18:00,14,61
21.01.18,04:30:00,14.2,60.6
21.01.18,04:42:00,14,61.1
21.01.18,04:54:00,14.3,60.7
21.01.18,05:06:00,14.1,60.8
21.01.18,05:18:00,14,61.2
21.01.18,05:30:00,14.2,60.5
21.01.18,05:42:00,14,61.2
21.01.18,05:54:00,14.2,60.5
21.01.18,06:06:00,14,61.1
21.01.18,06:18:00,14.3,60
21.01.18,06:30:00,14,60.5
21.01.18,06:42:00,14.2,60
21.01.18,06:54:00,14,59.9
21.01.18,07:06:00,14.3,59.2
21.01.18,07:18:00,14.1,59
21.01.18,07:30:00,14.1,59.2
21.01.18,07:42:00,14.2,58.2
21.01.18,07:54:00,14,58.7
21.01.18,08:06:00,14.1,58.9
21.01.18,08:18:00,14.2,58.1
21.01.18,08:30:00,14.4,58.3
21.01.18,08:42:00,14.1,58.9
21.01.18,08:54:00,14.4,57.7
21.01.18,09:06:00,14.5,58.2
21.01.18,09:18:00,14.9,56.3
21.01.18,09:30:00,15.6,54.4
21.01.18,09:42:00,16.1,53.1
21.01.18,09:54:00,16.7,51.7
21.01.18,10:06:00,17.2,50.3
21.01.18,10:18:00,17.8,48.8
21.01.18,10:30:00,18,47.9
21.01.18,10:42:00,18.1,48.1
21.01.18,10:54:00,18.1,48.4
21.01.18,11:06:00,18,48.5
21.01.18,11:18:00,18.1,48.1
21.01.18,11:30:00,18.2,47.4
21.01.18,11:42:00,18.3,47.5
21.01.18,11:54:00,18.2,47.6
21.01.18,12:06:00,18.1,47.5
21.01.18,12:18:00,18.2,47.1
21.01.18,12:30:00,18.4,47.1
21.01.18,12:42:00,18.1,47.6
21.01.18,12:54:00,18.2,46.8
21.01.18,13:06:00,18.4,46.4
21.01.18,13:18:00,18.2,46.8
21.01.18,13:30:00,18.3,45.9
21.01.18,13:42:00,18.3,46.1
21.01.18,13:54:00,18.2,45.5
21.01.18,14:06:00,18.3,45.2
21.01.18,14:18:00,18,45.1
21.01.18,14:30:00,18.5,44.4
21.01.18,14:42:00,18.2,45.3
21.01.18,14:54:00,18.1,45.1
21.01.18,15:06:00,18.5,44.9
21.01.18,15:18:00,18,45.9
21.01.18,15:30:00,18.4,44.8
21.01.18,15:42:00,18.2,45.4
21.01.18,15:54:00,18.1,45
21.01.18,16:06:00,18.5,44.7
21.01.18,16:18:00,18.1,45.8
21.01.18,16:30:00,18.2,45.5
21.01.18,16:42:00,18.4,45.3
21.01.18,16:54:00,18.2,46.1
