"name","max exg","mean exg","min exg","max exr","mean exr","min exr","max exgr","mean exgr","min exgr","Gen","area","Frame"
"video0006_frame0006_R128x128.png","102","49.929077148438","-25","104","3.000732421875","0","102","46.928344726562","-113","6","14144","14"
"video0006_frame0007_R128x128.png","108","57.099426269531","-44","130","3.3240966796875","0","108","53.775329589844","-164","6","14487","15"
"video0006_frame0008_R128x128.png","82","44.133850097656","-39","112","2.426025390625","0","82","41.707824707031","-135","6","14074","16"
"video0007_frame0001_R128x128.png","18","-0.2186279296875","-79","107","12.92431640625","0","12","-13.142944335938","-117","7","0","1"
"video0007_frame0002_R128x128.png","34","-10.978576660156","-78","108","18.337585449219","0","19","-29.316162109375","-130","7","0","2"
"video0007_frame0003_R128x128.png","39","-2.6900634765625","-80","107","20.796203613281","0","39","-23.486267089844","-127","7","31","3"
"video0007_frame0004_R128x128.png","63","-8.4505615234375","-66","110","17.404174804688","0","63","-25.854736328125","-142","7","303","4"
"video0007_frame0005_R128x128.png","71","3.5623168945312","-62","109","19.044616699219","0","71","-15.482299804688","-140","7","936","5"
"video0007_frame0006_R128x128.png","78","7.0923461914062","-71","108","17.159790039062","0","78","-10.067443847656","-129","7","2800","6"
"video0007_frame0007_R128x128.png","79","15.615051269531","-54","109","13.537536621094","0","79","2.0775146484375","-120","7","4972","7"
"video0007_frame0008_R128x128.png","67","24.385681152344","-50","114","8.9793090820312","0","67","15.406372070312","-125","7","8529","8"
"video0008_frame0001_R128x128.png","79","35.72802734375","-36","86","5.4139404296875","0","79","30.314086914062","-111","8","11408","9"
"video0008_frame0002_R128x128.png","91","45.491760253906","-22","103","4.2826538085938","0","91","41.209106445312","-105","8","13045","10"
"video0008_frame0003_R128x128.png","114","63.022277832031","-41","123","2.5206298828125","0","114","60.501647949219","-151","8","13559","11"
"video0008_frame0004_R128x128.png","93","52.362121582031","-31","82","3.1785888671875","0","93","49.183532714844","-99","8","13579","12"
"video0008_frame0005_R128x128.png","136","76.604858398438","-26","102","4.7182006835938","0","136","71.886657714844","-105","8","14070","13"
"video0008_frame0006_R128x128.png","114","64.033264160156","-31","117","2.37109375","0","114","61.662170410156","-124","8","14047","14"
"video0008_frame0007_R128x128.png","120","56.485046386719","-36","107","3.2145385742188","0","120","53.2705078125","-131","8","14020","15"
"video0008_frame0008_R128x128.png","107","55.578308105469","-32","109","1.4684448242188","0","107","54.10986328125","-127","8","14512","16"
"video0009_frame0001_R128x128.png","19","-1.3369750976562","-68","108","14.811279296875","0","19","-16.148254394531","-116","9","0","1"
"video0009_frame0002_R128x128.png","26","-9.9661254882812","-38","93","20.110412597656","0","26","-30.076538085938","-117","9","2","2"
"video0009_frame0003_R128x128.png","35","-3.5291137695312","-36","111","21.919860839844","0","35","-25.448974609375","-126","9","14","3"
"video0009_frame0004_R128x128.png","71","-7.70849609375","-38","114","19.674926757812","0","71","-27.383422851562","-140","9","257","4"
"video0009_frame0005_R128x128.png","71","1.1370239257812","-27","115","21.031372070312","0","71","-19.894348144531","-138","9","709","5"
"video0009_frame0006_R128x128.png","80","4.75439453125","-39","117","19.04052734375","0","80","-14.2861328125","-131","9","2308","6"
"video0009_frame0007_R128x128.png","72","11.235412597656","-25","113","16.141052246094","0","72","-4.9056396484375","-126","9","4217","7"
"video0009_frame0008_R128x128.png","77","18.6787109375","-31","111","10.807495117188","0","77","7.8712158203125","-125","9","6991","8"
"video0010_frame0001_R128x128.png","88","28.901794433594","-29","98","5.5930786132812","0","88","23.308715820312","-125","10","9959","9"
"video0010_frame0002_R128x128.png","85","38.794799804688","-20","109","8.5195922851562","0","85","30.275207519531","-117","10","11693","10"
"video0010_frame0003_R128x128.png","110","56.471374511719","-31","103","3.65869140625","0","110","52.812683105469","-107","10","14159","11"
"video0010_frame0004_R128x128.png","105","50.883178710938","-26","107","4.12060546875","0","105","46.762573242188","-112","10","13139","12"
"video0010_frame0005_R128x128.png","108","56.590454101562","-26","107","3.599609375","0","108","52.990844726562","-107","10","13830","13"
"video0010_frame0006_R128x128.png","92","45.289733886719","-39","119","2.914794921875","0","92","42.374938964844","-133","10","14287","14"
"video0010_frame0007_R128x128.png","142","49.633422851562","-28","118","4.6611328125","0","142","44.972290039062","-138","10","13606","15"
"video0010_frame0008_R128x128.png","104","52.007751464844","-57","98","1.471923828125","0","104","50.535827636719","-111","10","13508","16"
"video0011_frame0001_R128x128.png","17","-3.8523559570312","-28","105","13.100952148438","0","8","-16.953308105469","-110","11","0","1"
"video0011_frame0002_R128x128.png","21","-11.929138183594","-31","117","14.691833496094","0","8","-26.620971679688","-138","11","0","2"
"video0011_frame0003_R128x128.png","35","-1.9790649414062","-29","108","19.075256347656","0","35","-21.054321289062","-122","11","31","3"
"video0011_frame0004_R128x128.png","68","-6.6237182617188","-38","107","15.986633300781","0","68","-22.6103515625","-134","11","248","4"
"video0011_frame0005_R128x128.png","82","1.2501831054688","-28","112","18.301513671875","0","82","-17.051330566406","-130","11","739","5"
"video0011_frame0006_R128x128.png","72","2.3029174804688","-35","112","16.214904785156","0","72","-13.911987304688","-125","11","2160","6"
"video0011_frame0007_R128x128.png","70","10.62060546875","-26","108","14.314270019531","0","70","-3.6936645507812","-124","11","3717","7"
"video0011_frame0008_R128x128.png","74","18.137084960938","-27","107","10.629760742188","0","74","7.50732421875","-112","11","6947","8"
"video0012_frame0001_R128x128.png","76","29.879699707031","-32","95","6.16259765625","0","76","23.717102050781","-118","12","10134","9"
"video0012_frame0002_R128x128.png","85","40.117797851562","-26","104","5.5037841796875","0","85","34.614013671875","-103","12","11439","10"
"video0012_frame0003_R128x128.png","94","48.336608886719","-30","91","3.3871459960938","0","94","44.949462890625","-98","12","13331","11"
"video0012_frame0004_R128x128.png","96","45.341369628906","-24","107","6.4913940429688","0","96","38.849975585938","-119","12","12233","12"
"video0012_frame0005_R128x128.png","111","60.464294433594","-17","96","2.150634765625","0","111","58.313659667969","-93","12","13820","13"
"video0012_frame0006_R128x128.png","110","56.38427734375","-40","82","0.98468017578125","0","110","55.399597167969","-103","12","14702","14"
"video0012_frame0007_R128x128.png","184","60.229553222656","-27","121","3.5045166015625","0","184","56.725036621094","-119","12","14437","15"
"video0012_frame0008_R128x128.png","111","54.887878417969","-31","97","4.1080932617188","0","111","50.77978515625","-117","12","13397","16"
"video0013_frame0001_R128x128.png","17","-3.9226684570312","-81","106","13.661254882812","0","10","-17.583923339844","-129","13","0","1"
"video0013_frame0002_R128x128.png","27","-11.719116210938","-51","103","16.402160644531","0","27","-28.121276855469","-120","13","2","2"
"video0013_frame0003_R128x128.png","49","-1.8346557617188","-111","113","17.687255859375","0","49","-19.521911621094","-147","13","114","3"
"video0013_frame0004_R128x128.png","73","-6.0654296875","-86","116","16.226379394531","0","73","-22.291809082031","-146","13","478","4"
"video0013_frame0005_R128x128.png","70","2.9899291992188","-65","115","17.227844238281","0","70","-14.237915039062","-141","13","1077","5"
"video0013_frame0006_R128x128.png","75","3.3928833007812","-73","122","15.254333496094","0","75","-11.861450195312","-145","13","2677","6"
"video0013_frame0007_R128x128.png","72","14.425598144531","-61","112","13.710388183594","0","72","0.7152099609375","-125","13","4904","7"
"video0013_frame0008_R128x128.png","75","25.351989746094","-104","107","9.3665161132812","0","75","15.985473632812","-127","13","8890","8"
"video0014_frame0001_R128x128.png","79","32.465515136719","-27","88","4.5253295898438","0","79","27.940185546875","-110","14","10771","9"
"video0014_frame0002_R128x128.png","92","46.678466796875","-18","95","4.430908203125","0","92","42.24755859375","-103","14","12690","10"
"video0014_frame0003_R128x128.png","123","58.946533203125","-108","112","3.7576293945312","0","123","55.188903808594","-151","14","13639","11"
"video0014_frame0004_R128x128.png","135","73.109741210938","-34","121","3.3397827148438","0","135","69.769958496094","-132","14","13685","12"
"video0014_frame0005_R128x128.png","107","59.593017578125","-101","87","1.1714477539062","0","107","58.421569824219","-113","14","14084","13"
"video0014_frame0006_R128x128.png","105","50.495971679688","-42","113","4.1719360351562","0","105","46.324035644531","-128","14","13980","14"
"video0014_frame0007_R128x128.png","130","51.34228515625","-89","115","3.7107543945312","0","130","47.631530761719","-119","14","13794","15"
"video0014_frame0008_R128x128.png","106","53.714172363281","-41","120","3.0484008789062","0","106","50.665771484375","-137","14","11843","16"
"video0015_frame0001_R128x128.png","25","-1.4408569335938","-52","106","13.754211425781","0","25","-15.195068359375","-109","15","1","1"
"video0015_frame0002_R128x128.png","26","-8.8525390625","-36","106","16.144470214844","0","20","-24.997009277344","-104","15","0","2"
"video0015_frame0003_R128x128.png","55","-2.1631469726562","-65","103","19.529602050781","0","55","-21.692749023438","-129","15","133","3"
"video0015_frame0004_R128x128.png","74","-2.8362426757812","-32","110","17.94189453125","0","74","-20.778137207031","-140","15","436","4"
"video0015_frame0005_R128x128.png","64","2.9113159179688","-57","113","18.131286621094","0","64","-15.219970703125","-133","15","980","5"
"video0015_frame0006_R128x128.png","68","10.19970703125","-35","117","16.423095703125","0","68","-6.223388671875","-130","15","3024","6"
"video0015_frame0007_R128x128.png","68","12.888977050781","-43","112","14.647644042969","0","68","-1.7586669921875","-123","15","4205","7"
"video0015_frame0008_R128x128.png","88","29.522888183594","-24","104","8.631591796875","0","88","20.891296386719","-110","15","9902","8"
"video0016_frame0001_R128x128.png","68","23.964050292969","-24","107","9.8172607421875","0","68","14.146789550781","-112","16","8123","9"
"video0016_frame0002_R128x128.png","88","44.568176269531","-20","106","3.2252197265625","0","88","41.342956542969","-110","16","13012","10"
