"name","area pred","max exg pred","mean exg pred","min exg pred","max exr pred","mean exr pred","min exr pred","max exgr pred","mean exgr pred","min exgr pred","Gen ","Frame","","max exg gt","mean exg gt","min exg gt","max exr gt","mean exr gt","min exr gt","max exgr gt","mean exgr gt","min exgr gt","area gt"
"video0010_frame0003_R128x128.png","14159","110","56.471374511719","-31","103","3.65869140625","0","110","52.812683105469","-107","10","11","","110","56.471374511719","-31","103","3.65869140625","0","110","52.812683105469","-107","14159"
"video0010_frame0004_R128x128.png","13139","105","50.883178710938","-26","107","4.12060546875","0","105","46.762573242188","-112","10","12","","105","50.883178710938","-26","107","4.12060546875","0","105","46.762573242188","-112","13139"
"video0010_frame0005_R128x128.png","13664","89","45.905700683594","-42","96","4.105712890625","0","89","41.799987792969","-135","10","13","","108","56.590454101562","-26","107","3.599609375","0","108","52.990844726562","-107","13830"
"video0010_frame0006_R128x128.png","13587","98","47.074523925781","-33","114","3.6760864257812","0","98","43.3984375","-128","10","14","","92","45.289733886719","-39","119","2.914794921875","0","92","42.374938964844","-133","14287"
"video0010_frame0007_R128x128.png","13331","87","44.574645996094","-19","119","5.3533325195312","0","87","39.221313476562","-126","10","15","","142","49.633422851562","-28","118","4.6611328125","0","142","44.972290039062","-138","13606"
"video0010_frame0008_R128x128.png","12918","111","50.908325195312","-29","101","2.9844970703125","0","111","47.923828125","-102","10","16","","104","52.007751464844","-57","98","1.471923828125","0","104","50.535827636719","-111","13508"
"video0011_frame0001_R128x128.png","0","17","-3.8523559570312","-28","105","13.100952148438","0","8","-16.953308105469","-110","11","1","","17","-3.8523559570312","-28","105","13.100952148438","0","8","-16.953308105469","-110","0"
"video0011_frame0002_R128x128.png","0","21","-11.929138183594","-31","117","14.691833496094","0","8","-26.620971679688","-138","11","2","","21","-11.929138183594","-31","117","14.691833496094","0","8","-26.620971679688","-138","0"
"video0011_frame0003_R128x128.png","31","35","-1.9790649414062","-29","108","19.075256347656","0","35","-21.054321289062","-122","11","3","","35","-1.9790649414062","-29","108","19.075256347656","0","35","-21.054321289062","-122","31"
"video0011_frame0004_R128x128.png","248","68","-6.6237182617188","-38","107","15.986633300781","0","68","-22.6103515625","-134","11","4","","68","-6.6237182617188","-38","107","15.986633300781","0","68","-22.6103515625","-134","248"
