Fresh leaves weight,Dry leaves weight,Fresh beet weight,Dry beet weight,Box 
1537.7,119.61,444.96,54.5,1
1644.9,112.56,475.64,57.63,2
1493.5,114.56,537.01,76.13,3
1662.4,138.57,558.01,85.04,4
1327.7,111.34,435.43,74.96,5
1546,124.53,433.06,58.75,6
1503.4,100.86,536.57,65.13,7
1437.9,109.94,439.62,53.03,8
1629.9,188.23,547.18,86.48,9
1296.4,96.44,387.63,54.87,10
1478.5,132.33,488.76,70.11,11
1441,112.44,441.47,66.55,12
523.67,51.24,153.75,22.23,13
650.25,56.56,182.98,25.01,14
470.84,50.48,160.26,25.37,15
274.54,27.89,85.18,11.68,16
249.75,24.38,83.28,11.65,17
260.94,27.94,89.23,12.97,18
498.62,53.1,317.35,59.26,19
552.86,63.51,451.33,94.64,20
593.47,57,358.42,67.48,21
528.91,63.56,424.95,91.34,22
468.29,55.57,340.84,76.06,23
539.07,64.97,364.83,77.9,24
347.14,41.69,142.19,26.37,25
355.18,41.55,138.99,24.84,26
323.03,39.86,169.46,32.56,27
