"name","area pred","max exg pred","mean exg pred","min exg pred","max exr pred","mean exr pred","min exr pred","max exgr pred","mean exgr pred","min exgr pred","Gen","Frame","","area gt","max exg gt","mean exg gt","min exg gt","max exr gt","mean exr gt","min exr gt","max exgr gt","mean exgr gt","min exgr gt"
"video0004_frame0003_R128x128.png","8326","81","22.960510253906","-57","144","8.9342651367188","0","81","14.026245117188","-192","4","11","","8326","81","22.960510253906","-57","144","8.9342651367188","0","81","14.026245117188","-192"
"video0004_frame0004_R128x128.png","12400","110","50.14990234375","-37","98","5.3255615234375","0","110","44.824340820312","-112","4","12","","12400","110","50.14990234375","-37","98","5.3255615234375","0","110","44.824340820312","-112"
"video0004_frame0005_R128x128.png","12728","89","46.823059082031","-39","95","5.3958740234375","0","89","41.427185058594","-118","4","13","","12484","112","54.326599121094","-33","99","5.1078491210938","0","112","49.21875","-112"
"video0004_frame0006_R128x128.png","13298","94","43.031860351562","-42","94","3.4896240234375","0","94","39.542236328125","-98","4","14","","13241","89","43.53173828125","-48","102","3.237060546875","0","89","40.294677734375","-112"
"video0004_frame0007_R128x128.png","13577","106","52.578247070312","-40","109","4.8569946289062","0","106","47.721252441406","-120","4","15","","13642","105","55.265441894531","-46","136","4.4830322265625","0","105","50.782409667969","-155"
"video0004_frame0008_R128x128.png","13768","99","50.404724121094","-35","119","3.1952514648438","0","99","47.20947265625","-138","4","16","","13384","101","50.209716796875","-51","118","2.9657592773438","0","101","47.243957519531","-139"
"video0005_frame0001_R128x128.png","0","24","-1.646240234375","-108","113","13.308349609375","0","24","-14.95458984375","-144","5","1","","0","24","-1.646240234375","-108","113","13.308349609375","0","24","-14.95458984375","-144"
"video0005_frame0002_R128x128.png","4","29","-10.635437011719","-29","116","16.588439941406","0","29","-27.223876953125","-134","5","2","","4","29","-10.635437011719","-29","116","16.588439941406","0","29","-27.223876953125","-134"
"video0005_frame0003_R128x128.png","84","42","-1.966796875","-33","111","20.601135253906","0","42","-22.567932128906","-125","5","3","","84","42","-1.966796875","-33","111","20.601135253906","0","42","-22.567932128906","-125"
"video0005_frame0004_R128x128.png","324","61","-8.2560424804688","-36","117","16.431091308594","0","61","-24.687133789062","-130","5","4","","324","61","-8.2560424804688","-36","117","16.431091308594","0","61","-24.687133789062","-130"
"video0005_frame0005_R128x128.png","1049","79","5.0355224609375","-31","106","18.579284667969","0","79","-13.543762207031","-123","5","5","","1013","68","1.697509765625","-28","109","16.7783203125","0","68","-15.080810546875","-127"
"video0005_frame0006_R128x128.png","3499","72","11.007446289062","-29","101","16.541381835938","0","72","-5.533935546875","-119","5","6","","3199","75","6.0045776367188","-33","105","16.198486328125","0","75","-10.193908691406","-123"
"video0005_frame0007_R128x128.png","5603","68","18.789672851562","-28","115","13.347290039062","0","68","5.4423828125","-128","5","7","","5297","73","15.805541992188","-39","109","12.901733398438","0","73","2.90380859375","-127"
