name,area,max exg,mean exg,min exg,max exr,mean exr,min exr,max exgr,mean exgr,min exgr,Gen,Frame
video0004_frame0010_R128x128.png,408,121,-3.43011474609375,-64,82,20.5408935546875,0,121,-23.9710083007812,-118,4,10
video0004_frame0011_R128x128.png,247,124,-5.8455810546875,-78,93,19.1253662109375,0,124,-24.970947265625,-156,4,11
video0004_frame0012_R128x128.png,418,127,-6.292236328125,-86,93,19.9210205078125,0,127,-26.2132568359375,-162,4,12
video0005_frame0001_R128x128.png,502,186,-1.2445068359375,-91,76,23.5894165039062,0,186,-24.8339233398437,-151,5,1
video0005_frame0002_R128x128.png,434,154,-2.8953857421875,-76,81,14.5924682617188,0,154,-17.4878540039062,-139,5,2
video0005_frame0003_R128x128.png,438,143,0.0748291015625,-76,91,17.0547485351563,0,143,-16.9799194335938,-161,5,3
video0005_frame0004_R128x128.png,1148,147,4.46435546875,-83,86,19.3829345703125,0,147,-14.9185791015625,-147,5,4
video0005_frame0005_R128x128.png,913,179,4.14886474609375,-77,79,19.94873046875,0,179,-15.7998657226563,-149,5,5
video0005_frame0006_R128x128.png,347,143,-3.71875,-94,83,16.6985473632813,0,143,-20.4172973632812,-144,5,6
video0005_frame0007_R128x128.png,1025,158,2.71575927734375,-70,88,18.9700317382813,0,158,-16.2542724609375,-143,5,7
video0005_frame0008_R128x128.png,735,155,-1.60980224609375,-87,83,18.884521484375,0,155,-20.4943237304687,-146,5,8
video0005_frame0009_R128x128.png,698,152,-1.39337158203125,-65,93,18.546142578125,0,152,-19.9395141601563,-129,5,9
video0005_frame0010_R128x128.png,1007,146,0.44830322265625,-67,92,18.235107421875,0,146,-17.7868041992188,-131,5,10
video0005_frame0011_R128x128.png,1064,139,-0.43731689453125,-98,82,18.1046142578125,0,139,-18.5419311523437,-164,5,11
video0005_frame0012_R128x128.png,668,155,-3.10638427734375,-80,88,19.5784912109375,0,155,-22.6848754882812,-154,5,12
video0006_frame0001_R128x128.png,2025,150,12.889404296875,-67,82,13.3389892578125,0,150,-0.4495849609375,-144,6,1
video0006_frame0002_R128x128.png,2011,163,12.8479614257813,-72,97,14.3695678710937,0,163,-1.5216064453125,-168,6,2
video0006_frame0003_R128x128.png,4617,160,27.298095703125,-62,83,12.6051635742188,0,160,14.6929321289063,-126,6,3
video0006_frame0004_R128x128.png,5096,165,31.2028198242187,-67,82,11.96044921875,0,165,19.2423706054688,-137,6,4
video0006_frame0005_R128x128.png,2257,138,14.0491333007812,-61,86,14.7832641601563,0,138,-0.734130859375,-135,6,5
video0006_frame0006_R128x128.png,4247,157,28.7498168945312,-64,100,15.230224609375,0,157,13.5195922851563,-161,6,6
video0006_frame0007_R128x128.png,3283,175,18.5726928710938,-81,90,16.7167358398438,0,175,1.85595703125,-168,6,7
video0006_frame0008_R128x128.png,3344,156,18.0697021484375,-64,85,16.372802734375,0,156,1.6968994140625,-125,6,8
video0006_frame0009_R128x128.png,3309,179,18.2510375976563,-74,85,15.1195678710938,0,179,3.1314697265625,-140,6,9
video0006_frame0010_R128x128.png,2470,166,12.4592895507813,-78,83,16.273193359375,0,166,-3.81390380859375,-133,6,10
