"name","area pred","max exg pred","mean exg pred","min exg pred","max exr pred","mean exr pred","min exr pred","max exgr pred","mean exgr pred","min exgr pred","Gen ","Frame","","max exg gt","mean exg gt","min exg gt","max exr gt","mean exr gt","min exr gt","max exgr gt","mean exgr gt","min exgr gt","area gt"
"video0043_frame0001_R128x128.png","0","19","-1.9190063476562","-34","108","13.143188476562","0","10","-15.062194824219","-113","43","1","","19","-1.9190063476562","-34","108","13.143188476562","0","10","-15.062194824219","-113","0"
"video0043_frame0002_R128x128.png","16","46","-14.9736328125","-45","112","24.864135742188","0","46","-39.837768554688","-133","43","2","","46","-14.9736328125","-45","112","24.864135742188","0","46","-39.837768554688","-133","16"
"video0043_frame0003_R128x128.png","177","53","-4.1940307617188","-34","110","20.696105957031","0","53","-24.89013671875","-133","43","3","","53","-4.1940307617188","-34","110","20.696105957031","0","53","-24.89013671875","-133","177"
"video0043_frame0004_R128x128.png","634","79","-3.4113159179688","-31","117","17.889038085938","0","79","-21.300354003906","-133","43","4","","79","-3.4113159179688","-31","117","17.889038085938","0","79","-21.300354003906","-133","634"
"video0043_frame0005_R128x128.png","1239","67","6.1934814453125","-25","105","18.199645996094","0","67","-12.006164550781","-118","43","5","","69","2.4893798828125","-23","115","16.978576660156","0","69","-14.489196777344","-134","1262"
"video0043_frame0006_R128x128.png","4227","72","14.049133300781","-25","106","15.575439453125","0","72","-1.5263061523438","-128","43","6","","88","12.077758789062","-30","112","16.422607421875","0","88","-4.3448486328125","-135","4483"
"video0043_frame0007_R128x128.png","6425","69","20.232360839844","-22","110","12.331237792969","0","69","7.901123046875","-123","43","7","","80","19.760314941406","-36","107","11.973327636719","0","80","7.7869873046875","-115","6772"
"video0043_frame0008_R128x128.png","10882","74","32.166809082031","-20","116","6.7493286132812","0","74","25.41748046875","-127","43","8","","80","33.190734863281","-25","109","6.9955444335938","0","80","26.195190429688","-122","10755"
"video0044_frame0001_R128x128.png","13055","91","42.795593261719","-33","88","2.722900390625","0","91","40.072692871094","-114","44","9","","91","42.795593261719","-33","88","2.722900390625","0","91","40.072692871094","-114","13055"
"video0044_frame0002_R128x128.png","13571","100","56.840576171875","-32","98","1.5729370117188","0","100","55.267639160156","-125","44","10","","100","56.840576171875","-32","98","1.5729370117188","0","100","55.267639160156","-125","13571"
"video0044_frame0003_R128x128.png","12732","96","54.88623046875","-21","108","0.69976806640625","0","96","54.186462402344","-115","44","11","","96","54.88623046875","-21","108","0.69976806640625","0","96","54.186462402344","-115","12732"
"video0044_frame0004_R128x128.png","12736","132","75.256225585938","-19","105","1.1654663085938","0","132","74.090759277344","-113","44","12","","132","75.256225585938","-19","105","1.1654663085938","0","132","74.090759277344","-113","12736"
"video0044_frame0005_R128x128.png","13130","99","56.44580078125","-18","116","1.0489501953125","0","99","55.396850585938","-134","44","13","","99","59.866821289062","-14","99","0.61883544921875","0","99","59.247985839844","-97","13007"
"video0044_frame0006_R128x128.png","14804","82","45.886474609375","-18","110","0.96160888671875","0","82","44.924865722656","-117","44","14","","82","46.962951660156","-17","105","0.7113037109375","0","82","46.251647949219","-108","13701"
"video0044_frame0007_R128x128.png","14454","88","51.094787597656","-18","104","1.291748046875","0","88","49.803039550781","-122","44","15","","89","51.088684082031","-15","96","1.23583984375","0","89","49.852844238281","-92","13584"
"video0044_frame0008_R128x128.png","12530","81","35.044799804688","-26","111","2.617919921875","0","81","32.426879882812","-112","44","16","","87","35.536376953125","-31","115","2.1445922851562","0","87","33.391784667969","-126","12753"
"video0045_frame0001_R128x128.png","0","26","-4.7445678710938","-21","108","12.226623535156","0","22","-16.97119140625","-101","45","1","","26","-4.7445678710938","-21","108","12.226623535156","0","22","-16.97119140625","-101","0"
"video0045_frame0002_R128x128.png","45","43","-12.416625976562","-46","112","22.52587890625","0","43","-34.942504882812","-144","45","2","","43","-12.416625976562","-46","112","22.52587890625","0","43","-34.942504882812","-144","45"
"video0045_frame0003_R128x128.png","183","58","-2.5947265625","-34","106","19.836853027344","0","58","-22.431579589844","-123","45","3","","58","-2.5947265625","-34","106","19.836853027344","0","58","-22.431579589844","-123","183"
"video0045_frame0004_R128x128.png","593","68","-5.2540283203125","-39","114","18.012023925781","0","68","-23.266052246094","-135","45","4","","68","-5.2540283203125","-39","114","18.012023925781","0","68","-23.266052246094","-135","593"
"video0045_frame0005_R128x128.png","1463","68","7.00244140625","-33","109","19.00830078125","0","68","-12.005859375","-121","45","5","","78","4.5025024414062","-26","115","17.305725097656","0","78","-12.80322265625","-140","1455"
"video0045_frame0006_R128x128.png","4638","77","15.225952148438","-27","108","15.753784179688","0","77","-0.52783203125","-126","45","6","","83","13.320373535156","-32","115","15.146545410156","0","83","-1.826171875","-134","4556"
"video0045_frame0007_R128x128.png","6726","63","20.30908203125","-27","113","11.276123046875","0","63","9.032958984375","-113","45","7","","76","21.6875","-24","109","11.599853515625","0","76","10.087646484375","-118","7111"
"video0045_frame0008_R128x128.png","10834","78","31.505920410156","-24","116","6.3192138671875","0","78","25.186706542969","-133","45","8","","79","32.133117675781","-21","113","6.7376098632812","0","79","25.3955078125","-129","10529"
"video0046_frame0001_R128x128.png","12838","104","47.800659179688","-24","119","3.2608642578125","0","104","44.539794921875","-123","46","9","","104","47.800659179688","-24","119","3.2608642578125","0","104","44.539794921875","-123","12838"
"video0046_frame0002_R128x128.png","13651","100","51.2939453125","-15","98","2.276123046875","0","100","49.017822265625","-99","46","10","","100","51.2939453125","-15","98","2.276123046875","0","100","49.017822265625","-99","13651"
"video0046_frame0003_R128x128.png","12755","126","60.295349121094","-29","95","1.8157958984375","0","126","58.479553222656","-105","46","11","","126","60.295349121094","-29","95","1.8157958984375","0","126","58.479553222656","-105","12755"
"video0046_frame0004_R128x128.png","14335","104","53.849426269531","-31","89","2.6998901367188","0","104","51.149536132812","-101","46","12","","104","53.849426269531","-31","89","2.6998901367188","0","104","51.149536132812","-101","14335"
"video0046_frame0005_R128x128.png","12996","121","69.445495605469","-2","74","1.0095825195312","0","121","68.435913085938","-49","46","13","","124","74.788757324219","-14","85","0.82421875","0","124","73.964538574219","-99","11420"
"video0046_frame0006_R128x128.png","13305","94","50.700317382812","-20","107","2.5728149414062","0","94","48.127502441406","-111","46","14","","99","51.242370605469","-21","109","2.4420166015625","0","99","48.800354003906","-103","14120"
"video0046_frame0007_R128x128.png","14048","102","53.789367675781","-21","117","2.219482421875","0","102","51.569885253906","-116","46","15","","96","54.2890625","-18","115","2.0039672851562","0","96","52.285095214844","-112","13392"
"video0046_frame0008_R128x128.png","11965","107","45.471862792969","-23","102","6.1082763671875","0","107","39.363586425781","-112","46","16","","110","42.063720703125","-68","135","6.1249389648438","0","110","35.938781738281","-158","12198"
"video0047_frame0001_R128x128.png","0","13","-6.1365966796875","-32","108","14.039611816406","0","10","-20.176208496094","-116","47","1","","13","-6.1365966796875","-32","108","14.039611816406","0","10","-20.176208496094","-116","0"
"video0047_frame0002_R128x128.png","15","35","-14.43505859375","-39","110","21.73193359375","0","35","-36.1669921875","-126","47","2","","35","-14.43505859375","-39","110","21.73193359375","0","35","-36.1669921875","-126","15"
"video0047_frame0003_R128x128.png","203","50","-2.582275390625","-36","106","20.16064453125","0","50","-22.742919921875","-117","47","3","","50","-2.582275390625","-36","106","20.16064453125","0","50","-22.742919921875","-117","203"
"video0047_frame0004_R128x128.png","628","84","-4.829833984375","-30","112","17.513916015625","0","84","-22.34375","-125","47","4","","84","-4.829833984375","-30","112","17.513916015625","0","84","-22.34375","-125","628"
"video0047_frame0005_R128x128.png","1362","65","5.9553833007812","-32","110","20.6201171875","0","65","-14.664733886719","-127","47","5","","87","2.87060546875","-29","110","18.608154296875","0","87","-15.737548828125","-135","1424"
"video0047_frame0006_R128x128.png","4197","66","13.063903808594","-23","103","16.748107910156","0","66","-3.6842041015625","-122","47","6","","87","12.16552734375","-49","117","16.309448242188","0","87","-4.1439208984375","-125","4186"
"video0047_frame0007_R128x128.png","6402","71","20.495056152344","-27","110","12.478942871094","0","71","8.01611328125","-119","47","7","","81","20.361999511719","-34","105","11.880432128906","0","81","8.4815673828125","-115","6520"
"video0047_frame0008_R128x128.png","10376","74","30.987426757812","-23","110","7.3889770507812","0","74","23.598449707031","-122","47","8","","85","30.833251953125","-40","121","7.2396850585938","0","85","23.593566894531","-137","10084"
