Wall time,Step,Value
1633864890.9238696,8900,-20.715951919555664
1633865617.3386428,9000,-15.729829788208008
1633874908.0516884,8900,-19.40317726135254
1633875610.367154,9000,-5.040451526641846
1633876318.268915,9100,-12.822366714477539
1633877044.3305764,9200,0.03412109613418579
1633877748.0935733,9300,-26.345752716064453
1633878451.8571455,9400,-1.3779641389846802
1633879178.2058535,9500,-9.520644187927246
1633879881.7629416,9600,-6.702661037445068
1633880585.0237079,9700,-1.844097375869751
1633881309.9500537,9800,-3.314100742340088
1633883219.8814144,10000,-3.314037799835205
1633883932.4205172,10100,-3.7036736011505127
1633884639.565671,10200,-2.9063079357147217
1633887118.7233672,10300,-7.770557880401611
1633887826.4307282,10400,-14.878847122192383
1633947539.8369179,10600,-1.3888962268829346
1633948262.435326,10700,-0.850824236869812
1633949008.2699242,10800,-18.19072723388672
1633949732.411731,10900,-1.8838931322097778
1633950456.9589152,11000,-7.855294227600098
1633951209.0418825,11100,-17.385356903076172
1633951934.492187,11200,-3.1990175247192383
1633952659.6805682,11300,-2.6492419242858887
1633953410.0030673,11400,-2.1947789192199707
1634023353.274271,11400,-11.751436233520508
1634024073.301825,11500,-3.6785404682159424
1634024815.7736974,11600,-11.100851058959961
1634025540.1005805,11700,-10.751352310180664
1634026267.6353743,11800,-0.9012290835380554
1634027026.292331,11900,-3.852053642272949
1634027754.1118183,12000,-2.128077745437622
1634028485.8797936,12100,-16.104753494262695
1634029232.9117448,12200,-2.1195766925811768
1634029959.8428118,12300,-1.0873651504516602
1634030698.7033992,12400,-4.9087815284729
1634031458.4794164,12500,-4.469492435455322
