Wall time,Step,Value
1633699657.5932405,3800,150.0
1633700353.2609084,3900,152.0
1633701047.1767972,4000,154.0
1633699657.5932405,3800,150.0
1633700353.2609084,3900,152.0
1633701047.1767972,4000,154.0
1633701772.0851412,4100,156.0
1633702466.9776256,4200,158.0
1633703161.2902997,4300,159.0
1633703880.3678768,4400,161.0
1633704574.5186958,4500,163.0
1633699657.5932405,3800,150.0
1633700353.2609084,3900,152.0
1633701047.1767972,4000,154.0
1633701772.0851412,4100,156.0
1633702466.9776256,4200,158.0
1633703161.2902997,4300,159.0
1633703880.3678768,4400,161.0
1633704574.5186958,4500,163.0
1633705286.5806885,4600,165.0
1633705969.3898861,4700,167.0
1633706653.7729204,4800,169.0
1633758646.424771,4900,171.0
1633759355.0863554,5000,172.0
1633760069.6887035,5100,174.0
1633763702.8496366,4900,171.0
1633764420.758734,5000,172.0
1633765144.73894,5100,174.0
1633765885.3810017,5200,176.0
1633766604.8133283,5300,178.0
1633767346.4802907,5400,180.0
1633768066.3030214,5500,182.0
1633763702.8496366,4900,171.0
1633764420.758734,5000,172.0
1633765144.73894,5100,174.0
1633765885.3810017,5200,176.0
1633766604.8133283,5300,178.0
1633767346.4802907,5400,180.0
1633768066.3030214,5500,182.0
1633768784.78451,5600,184.0
1633769527.8242235,5700,185.0
1633770247.0690796,5800,187.0
1633770966.098447,5900,189.0
1633771707.1484122,6000,191.0
1633786608.9359577,6000,191.0
1633787301.6362615,6100,193.0
1633788011.9975064,6200,195.0
1633788701.45937,6300,196.0
1633789389.1816638,6400,198.0
1633790102.3918953,6500,200.0
1633845624.2796876,6500,200.0
1633846352.533878,6600,202.0
1633847082.172632,6700,204.0
1633847833.560104,6800,206.0
1633848562.5646915,6900,208.0
1633849292.0740354,7000,209.0
1633850326.163251,7100,211.0
1633851057.8737402,7200,213.0
1633850326.163251,7100,211.0
1633851057.8737402,7200,213.0
1633851814.621935,7300,215.0
1633852551.9414172,7400,217.0
1633853287.1228821,7500,219.0
1633854046.945166,7600,221.0
1633854782.1056445,7700,222.0
1633855516.4612448,7800,224.0
1633856858.7442427,7900,226.0
1633857585.4533813,8000,228.0
1633858338.962607,8100,230.0
1633859067.1339045,8200,232.0
1633859795.2258558,8300,234.0
1633864890.9239318,8900,245.0
1633865617.3387065,9000,246.0
1633874908.0517561,8900,245.0
1633875610.3672216,9000,246.0
