Wall time,Step,Value
1633883219.8814144,10000,-3.314037799835205
1633883932.4205172,10100,-3.7036736011505127
1633884639.565671,10200,-2.9063079357147217
1633887118.7233672,10300,-7.770557880401611
1633887826.4307282,10400,-14.878847122192383
1633947539.8369179,10600,-1.3888962268829346
1633948262.435326,10700,-0.850824236869812
1633949008.2699242,10800,-18.19072723388672
1633949732.411731,10900,-1.8838931322097778
1633950456.9589152,11000,-7.855294227600098
1633951209.0418825,11100,-17.385356903076172
1633951934.492187,11200,-3.1990175247192383
1633952659.6805682,11300,-2.6492419242858887
1633953410.0030673,11400,-2.1947789192199707
1634033821.1800504,12700,-2.9935758113861084
1634034557.0376167,12800,-5.139720916748047
1634035293.5570698,12900,-4.095219612121582
1634194217.0320492,13000,-4.548395156860352
1634194912.055472,13100,-5.924323081970215
1634195602.1251104,13200,-3.8204739093780518
1634196320.4767902,13300,-4.487124443054199
1634197010.9693081,13400,-3.089620590209961
1634197729.161596,13500,-2.038313865661621
1634198421.3562953,13600,-3.7895286083221436
1634199114.3045173,13700,-2.749689817428589
1634199831.5795395,13800,-2.787889242172241
1634200524.367098,13900,-2.068106174468994
1634201215.4871235,14000,-1.553399920463562
1634201935.1157556,14100,-1.9260810613632202
1634202627.412691,14200,-2.2882792949676514
1634203342.8793502,14300,-3.152789831161499
