Wall time,Step,Value
1633520204.9262784,1,0.0
1633520542.8342304,100,35.0
1633520204.9262784,1,0.0
1633520542.8342304,100,35.0
1633521054.242819,200,52.0
1633521770.9375782,300,63.0
1633527221.9597342,600,82.0
1633528190.7645543,700,86.0
1633529159.3540766,800,90.0
1633530040.1976752,900,93.0
1633590280.60342,800,90.0
1633591227.4144318,900,93.0
1633592201.528809,1000,97.0
1633593146.9720843,1100,100.0
1633593948.0911984,1200,102.0
1633594749.2555726,1300,104.0
1633595563.3142827,1400,106.0
1633596356.7109337,1500,108.0
1633597152.4497929,1600,109.0
1633597902.1117103,1700,111.0
1633590280.60342,800,90.0
1633591227.4144318,900,93.0
1633592201.528809,1000,97.0
1633593146.9720843,1100,100.0
1633593948.0911984,1200,102.0
1633594749.2555726,1300,104.0
1633595563.3142827,1400,106.0
1633596356.7109337,1500,108.0
1633597152.4497929,1600,109.0
1633597902.1117103,1700,111.0
1633598633.7618341,1800,113.0
1633599383.3324344,1900,115.0
1633600110.677623,2000,117.0
1633600845.0842862,2100,119.0
1633601593.2553468,2200,121.0
1633602320.2032826,2300,122.0
1633603046.7593026,2400,124.0
1633659645.6982734,2500,126.0
1633660316.158949,2600,128.0
1633661011.6997945,2700,130.0
1633661683.9427965,2800,132.0
1633662354.6995077,2900,134.0
1633663051.1651862,3000,135.0
1633663727.3290567,3100,137.0
1633699657.5932405,3800,150.0
1633700353.2609084,3900,152.0
1633701047.1767972,4000,154.0
1633699657.5932405,3800,150.0
1633700353.2609084,3900,152.0
1633701047.1767972,4000,154.0
1633701772.0851412,4100,156.0
1633702466.9776256,4200,158.0
1633703161.2902997,4300,159.0
1633703880.3678768,4400,161.0
1633704574.5186958,4500,163.0
1633699657.5932405,3800,150.0
1633700353.2609084,3900,152.0
1633701047.1767972,4000,154.0
1633701772.0851412,4100,156.0
1633702466.9776256,4200,158.0
1633699657.5932405,3800,150.0
1633700353.2609084,3900,152.0
1633701047.1767972,4000,154.0
1633699657.5932405,3800,150.0
1633700353.2609084,3900,152.0
1633701047.1767972,4000,154.0
1633701772.0851412,4100,156.0
1633702466.9776256,4200,158.0
1633703161.2902997,4300,159.0
1633703880.3678768,4400,161.0
1633704574.5186958,4500,163.0
1633699657.5932405,3800,150.0
1633700353.2609084,3900,152.0
1633701047.1767972,4000,154.0
1633701772.0851412,4100,156.0
1633702466.9776256,4200,158.0
1633703161.2902997,4300,159.0
1633703880.3678768,4400,161.0
1633704574.5186958,4500,163.0
1633705286.5806885,4600,165.0
1633705969.3898861,4700,167.0
1633706653.7729204,4800,169.0
1633758646.424771,4900,171.0
1633759355.0863554,5000,172.0
1633760069.6887035,5100,174.0
1633763702.8496366,4900,171.0
1633764420.758734,5000,172.0
1633765144.73894,5100,174.0
1633765885.3810017,5200,176.0
1633766604.8133283,5300,178.0
1633767346.4802907,5400,180.0
1633768066.3030214,5500,182.0
1633763702.8496366,4900,171.0
1633764420.758734,5000,172.0
1633765144.73894,5100,174.0
1633765885.3810017,5200,176.0
1633766604.8133283,5300,178.0
1633767346.4802907,5400,180.0
1633768066.3030214,5500,182.0
1633768784.78451,5600,184.0
1633769527.8242235,5700,185.0
1633770247.0690796,5800,187.0
1633770966.098447,5900,189.0
1633771707.1484122,6000,191.0
1633786608.9359577,6000,191.0
1633787301.6362615,6100,193.0
1633788011.9975064,6200,195.0
1633788701.45937,6300,196.0
1633789389.1816638,6400,198.0
1633790102.3918953,6500,200.0
1633845624.2796876,6500,200.0
1633846352.533878,6600,202.0
1633847082.172632,6700,204.0
1633847833.560104,6800,206.0
1633848562.5646915,6900,208.0
1633849292.0740354,7000,209.0
1633850326.163251,7100,211.0
1633851057.8737402,7200,213.0
1633850326.163251,7100,211.0
1633851057.8737402,7200,213.0
1633851814.621935,7300,215.0
1633852551.9414172,7400,217.0
1633853287.1228821,7500,219.0
1633854046.945166,7600,221.0
1633854782.1056445,7700,222.0
1633855516.4612448,7800,224.0
1633856858.7442427,7900,226.0
1633857585.4533813,8000,228.0
1633858338.962607,8100,230.0
1633859067.1339045,8200,232.0
1633859795.2258558,8300,234.0
1633864890.9239318,8900,245.0
1633865617.3387065,9000,246.0
1633874908.0517561,8900,245.0
1633875610.3672216,9000,246.0
1633763702.8496366,4900,171.0
1633764420.758734,5000,172.0
1633765144.73894,5100,174.0
1633765885.3810017,5200,176.0
1633766604.8133283,5300,178.0
1633767346.4802907,5400,180.0
1633768066.3030214,5500,182.0
1633763702.8496366,4900,171.0
1633764420.758734,5000,172.0
1633765144.73894,5100,174.0
1633765885.3810017,5200,176.0
1633766604.8133283,5300,178.0
1633767346.4802907,5400,180.0
1633768066.3030214,5500,182.0
1633768784.78451,5600,184.0
1633769527.8242235,5700,185.0
1633770247.0690796,5800,187.0
1633770966.098447,5900,189.0
1633771707.1484122,6000,191.0
1633786608.9359577,6000,191.0
1633787301.6362615,6100,193.0
1633788011.9975064,6200,195.0
1633788701.45937,6300,196.0
1633789389.1816638,6400,198.0
1633790102.3918953,6500,200.0
1633845624.2796876,6500,200.0
1633846352.533878,6600,202.0
1633847082.172632,6700,204.0
1633847833.560104,6800,206.0
1633848562.5646915,6900,208.0
1633849292.0740354,7000,209.0
1633850326.163251,7100,211.0
1633851057.8737402,7200,213.0
1633850326.163251,7100,211.0
1633851057.8737402,7200,213.0
1633851814.621935,7300,215.0
1633852551.9414172,7400,217.0
1633853287.1228821,7500,219.0
1633854046.945166,7600,221.0
1633854782.1056445,7700,222.0
1633855516.4612448,7800,224.0
1633856858.7442427,7900,226.0
1633857585.4533813,8000,228.0
1633858338.962607,8100,230.0
1633859067.1339045,8200,232.0
1633859795.2258558,8300,234.0
1633864890.9239318,8900,245.0
1633865617.3387065,9000,246.0
1633874908.0517561,8900,245.0
1633875610.3672216,9000,246.0
1633876318.2689834,9100,248.0
1633877044.3306496,9200,250.0
1633877748.0936468,9300,252.0
1633878451.8572204,9400,254.0
1633879178.2059245,9500,256.0
1633879881.7630131,9600,258.0
1633880585.023795,9700,259.0
1633881309.9501545,9800,261.0
1633883219.881475,10000,265.0
1633883932.420592,10100,267.0
1633884639.5657337,10200,269.0
1633887118.723445,10300,271.0
1633887826.4308507,10400,272.0
1633947539.8369803,10600,276.0
1633948262.4354029,10700,278.0
1633949008.2699943,10800,280.0
1633949732.4119563,10900,282.0
1633950456.9589832,11000,284.0
1633951209.0419574,11100,285.0
1633951934.4922578,11200,287.0
1633952659.6806436,11300,289.0
1633953410.003136,11400,291.0
1634023353.2743404,11400,291.0
1634024073.3020015,11500,293.0
1634024815.7738152,11600,295.0
1634025540.1006505,11700,296.0
1634026267.6354456,11800,298.0
1634027026.2924113,11900,300.0
1634027754.1119018,12000,302.0
1634028485.8798711,12100,304.0
1634029232.9118404,12200,306.0
1634029959.8428836,12300,308.0
1634030698.7034855,12400,309.0
1634031458.479513,12500,311.0
1634032197.9288766,12600,313.0
1634032958.6078637,12700,315.0
1634033821.180125,12700,315.0
1634034557.0377223,12800,317.0
1634035293.5571454,12900,319.0
1634194217.0321224,13000,321.0
1633786608.9359577,6000,191.0
1633787301.6362615,6100,193.0
1633788011.9975064,6200,195.0
1633788701.45937,6300,196.0
1633789389.1816638,6400,198.0
1633790102.3918953,6500,200.0
1633845624.2796876,6500,200.0
1633846352.533878,6600,202.0
1633847082.172632,6700,204.0
1633847833.560104,6800,206.0
1633848562.5646915,6900,208.0
1633849292.0740354,7000,209.0
1633850326.163251,7100,211.0
1633851057.8737402,7200,213.0
